Gemeente,webpagina,contact,vergif aangeboden,klemmen aangeboden,rattenvanger aangeboden,Preventietips,Klemmen voor vergif?
Dentergem,https://www.dentergem.be/nl/gemeente/pages/leefomgeving_milieu_hinder-en-overlast,milieu@dentergem.be,nee,nee,ja,nee,nee
Dessel,http://www.dessel.be/bestrijding-bruine-rat,milieu@dessel.be,ja,nee,nee,ja,nee
Destelbergen,via mail,info@destelbergen.be,nee,nee,ja,NA,NA
Diepenbeek,via mail,info@diepenbeek.be,nee,nee,ja,NA,NA
Diest,NA,milieu@diest.be,NA,NA,NA,NA,NA
Diksmuide,https://www.diksmuide.be/product/1882/overlast-door-dieren,milieu@diksmuide.be,nee,nee,nee,nee,nee
Dilbeek,via mail,wonenenondernemen@dilbeek.be,nee,nee,ja,NA,NA
Dilsen-Stokkem,https://www.dilsen-stokkem.be/rattenbestrijding,milieu@dilsen-stokkem.be,nee,nee,ja,nee,nee
Drogenbos,https://www.drogenbos.be/nl/product/325/rattenbestrijding,grondgebiedzaken@drogenbos.be,nee,nee,nee,ja,nee
Duffel,https://www.duffel.be/ratten-op-prive-eigendom,omgeving@duffel.be,nee,ja,nee,ja,ja
Edegem,https://www.edegem.be/product.aspx?id=3821,gemeentebestuur@edegem.be,nee,nee,nee,ja,ja
Eeklo,https://www.eeklo.be/bestuur_diensten/Stadsdiensten/dienst_omgeving/Algemene_informatie/Dieren_in_Eeklo/rattenbestrijding,info@eeklo.be,nee,nee,ja,nee,nee
Erpe-Mere,via mail,gemeentebestuur@erpe-mere.be,nee,nee,ja,NA,NA
Essen,https://www.essen.be/product/502/ongediertebestrijding,openbarewerken@essen.be,nee,nee,nee,ja,nee
Evergem,https://www.evergem.be/product/88/hinder-door-dieren,info@evergem.be,nee,nee,nee,nee,nee
Galmaarden,https://www.galmaarden.be/rattenbestrijding.aspx,milieu@galmaarden.be,nee,nee,nee,nee,nee
Gavere,https://www.gavere.be/ratten,milieu@gavere.be,nee,nee,nee,ja,ja
Geel,https://www.geel.be/ratten,grondgebondenzaken@geel.be,nee,nee,nee,ja,nee
Geetbets,https://www.geetbets.be/new-website/160-www.html,wimc@geetbets.be,nee,nee,nee,nee,nee
Genk,genk.be/rattenbestrijding,info@genk.be,nee,nee,ja,nee,nee
Gent,https://stad.gent/nl/samenleven-welzijn-gezondheid/welzijn/dierenwelzijn/dierenoverlast/rattenoverlast,groendienst.plaagdieren@stad.gent,nee,nee,ja,ja,nee
Geraardsbergen,https://www.geraardsbergen.be/Ratten%20voorkomen%20en%20bestrijden,milieu@geraardsbergen.be,nee,nee,nee,ja,ja
Gingelom,via mail,info@gingelom.be,nee,nee,ja,NA,NA
Gistel,NA,milieudienst@gistel.be,NA,NA,NA,NA,NA
Glabbeek,via mail,milieu@glabbeek.be,ja,nee,toekomst,NA,NA
Gooik,https://www.gooik.be/omgeving/leefmilieu/hinder,filip.mignon@gooik.be,nee,nee,nee,ja,nee
Grimbergen,NA,gemeentebestuur@grimbergen.be,NA,NA,NA,NA,NA
Grobbendonk,via mail,milieu.groen@grobbendonk.be,nee,nee,nee,NA,NA
Haacht,https://www.haacht.be/ratten,milieu@haacht.be,nee,nee,nee,nee,nee
Haaltert,https://www.haaltert.be/product.aspx?id=222,leefmilieu@haaltert.be,ja,nee,nee,nee,nee
Halen,https://www.halen.be/ratten,milieudienst@halen.be,ja,nee,nee,ja,nee
Halle,via mail,ruimtelijke.ordening@halle.be,nee,nee,ja,NA,NA
Ham,NA,milieu@ham.be,NA,NA,NA,NA,NA
Hamme,https://www.hamme.be/ratten,uitvoeringsdiensten@hamme.be,nee,nee,ja,nee,nee
Hamont-Achel,https://www.hamont-achel.be/product/48/rattenbestrijding,milieu@hamont-achel.be,nee,nee,ja,ja,ja
Harelbeke,https://www.harelbeke.be/ratten-bestrijden,info@harelbeke.be,nee,nee,nee,ja,nee
Hasselt,NA,duurzaam@hasselt.be,NA,NA,NA,NA,NA
Hechtel-Eksel,https://www.hechtel-eksel.be/milieu/ratten,info@hechtel-eksel.be,nee,nee,ja,nee,nee
Heers,via mail,mario.robijns@heers.be,nee,nee,ja,NA,NA
Heist-op-den-Berg,https://www.heist-op-den-berg.be/ratten,milieu@heist-op-den-berg.be,nee,nee,nee,ja,ja
Hemiksem,https://hemiksem.be/bestuur-en-beleid/diensten/uitvoerende-technische-dienst,gunter@hemiksem.be,ja,nee,nee,nee,nee
Herent,https://www.herent.be/product/248/ratten-en-ander-ongedierte-bestrijden-doet-u-het-best-doordacht,info@herent.be,nee,nee,nee,ja,nee
Herentals,https://www.herentals.be/node/3422,info@herentals.be,nee,nee,nee,ja,ja
Herenthout,https://www.herenthout.be/inwoners/wonen/dieren/,bouwen.wonen@herenthout.be,nee,nee,nee,ja,nee
Herk-de-Stad,http://www.herk-de-stad.be/content.php?hmID=1828&smID=1699&ssmID=283&sssmID=332,leefmilieu@herk-de-stad.be,nee,nee,nee,ja,nee
Herne,via mail,gemeentebestuur@herne.be,nee,nee,ja,NA,NA
Herselt,via mail,info@herselt.be,nee,NA,nee,NA,NA
Herstappe,NA,NA,NA,NA,NA,NA,NA
Herzele,https://www.herzele.be/product/217/ratten-bestrijden,milieu@herzele.be,nee,nee,nee,ja,nee
Heusden-Zolder,https://www.heusden-zolder.be/ratten,werkplaatsen@heusden-zolder.be,nee,nee,ja,nee,nee
Heuvelland,https://www.heuvelland.be/meldpunt-muskusratten,luc.gruson@heuvelland.be,nee,nee,nee,ja,nee
Hoegaarden,gemeentehoegaarden.be/documents/veiligheid/dierenwelzijn.xml?lang=nl,marlies.buvens@gemhoegaarden.be,nee,nee,nee,ja,nee
Hoeilaart,https://www.hoeilaart.be/ratten-weghouden,milieudienst@hoeilaart.be,ja,nee,nee,ja,ja
Hoeselt,https://www.hoeselt.be/nl/wonen/technische-dienst/verdelging-ongedierte,technischedienst@hoeselt.be,nee,nee,nee,nee,nee
Holsbeek,https://www.holsbeek.be/product/337/marters-en-consoorten#Ratten,milieu@holsbeek.be,nee,nee,nee,ja,ja
Hooglede,https://www.hooglede.be/overlast-door-ongewenste-dieren-ratten-muizen-kakkerlakken-,technischedienst@hooglede.be,nee,nee,nee,ja,nee
Hoogstraten,https://www.hoogstraten.be/leven-en-welzijn/veiligheid-en-samenleven/hinderlijke-dieren/knaagdieren,openbare.werken@hoogstraten.be,nee,nee,nee,ja,ja
Horebeke,http://www.horebeke.be/wonen-en-leven/ik-wil-iets-aangeven-of-aanvragen/rattenbestrijding,info@horebeke.be,nee,nee,ja,nee,nee
Houthalen-Helchteren,https://www.houthalen-helchteren.be/rattenvanger-aanvraag,info@houthalen-helchteren.be,nee,nee,ja,nee,nee
Houthulst,https://www.houthulst.be/milieuvriendelijk-wonen-en-leven,rudi.vandewiele@houthulst.be,nee,ja,nee,nee,ja
Hove,https://www.hove.be/rattenbestrijding,milieu@hove.be,nee,nee,nee,ja,nee
Huldenberg,https://www.huldenberg.be/ratten-en-muizen,info@huldenberg.be,ja,nee,nee,nee,nee
Hulshout,https://www.hulshout.be/nl/wonen-en-omgeving/dieren/ratten,info@hulshout.be,nee,nee,ja,nee,nee
Ichtegem,https://www.ichtegem.be/rattenbestrijding,milieudienst@ichtegem.be,nee,nee,nee,ja,ja
Ieper,https://www.ieper.be/dierenwelzijn#Schadedieren,milieu@ieper.be,nee,nee,nee,nee,nee
Ingelmunster,https://www.ingelmunster.be/afval-en-milieu/natuur-groen-en-dieren/rattenbestrijding/,bouw@ingelmunster.be,nee,nee,nee,ja,ja
Izegem,https://www.izegem.be/hinder-door-dieren,omgeving@izegem.be,nee,nee,nee,nee,nee
Jabbeke,NA,gemeentehuis@jabbeke.be,NA,NA,NA,NA,NA
Kalmthout,https://kalmthout.be/hoe-ratten-te-bestrijden/,milieu@kalmthout.be,nee,nee,nee,ja,nee
Kampenhout,https://www.kampenhout.be/rattenverdelging,milieudienst@kampenhout.be,nee,nee,nee,ja,nee
Kapelle-op-den-Bos,https://www.kapelle-op-den-bos.be/rattenverdelging,omgeving@kapelle-op-den-bos.be,nee,nee,nee,nee,nee
Kapellen,https://www.kapellen.be/ratten,ruimte@kapellen.be,nee,ja,ja,ja,ja
Kaprijke,via mail,info@kaprijke.be,nee,nee,ja,NA,NA
Kasterlee,https://www.kasterlee.be/product/211/ratten-en-muizen,td@kasterlee.be,nee,nee,ja,ja,ja
Keerbergen,NA,onthaal@keerbergen.be,NA,NA,NA,NA,NA
Kinrooi,https://www.kinrooi.be/producten/detail/131/ratten,info@kinrooi.be,nee,nee,ja,nee,nee
Kluisbergen,https://www.kluisbergen.be/website/7-www/8380-www/9567-www.html,milieu@kluisbergen.be,nee,nee,ja,ja,nee
Knokke-Heist,https://www.knokke-heist.be/milieu-natuur-en-landbouw/dieren/rattenbestrijding,milieu@knokke-heist.be,nee,nee,nee,ja,ja
Koekelare,https://www.koekelare.be/ratten,heidi.meulemeester@koekelare.be,nee,nee,nee,nee,nee
Koksijde,NA,milieu@koksijde.be,NA,NA,NA,NA,NA
Kontich,https://www.kontich.be/ratten,technische.dienst@kontich.be,nee,nee,ja,ja,ja
Kortemark,https://www.kortemark.be/nieuwsdetail/4187/pas-op-voor-de-bruine-rat,omgevingsloket@kortemark.be,nee,nee,ja,ja,nee
Kortenaken,NA,milieu@kortenaken.be,NA,NA,NA,NA,NA
Kortenberg,https://www.kortenberg.be/hoe-ratten-voorkomen-en-bestrijden,wegenengroen@kortenberg.be,nee,nee,nee,ja,nee
Kortessem,NA,info@kortessem.be,NA,NA,NA,NA,NA
Kortrijk,https://www.kortrijk.be/producten/rattenbestrijding,beheer.opendomein@kortrijk.be,ja,nee,nee,nee,nee
Kraainem,https://www.kraainem.be/nl/product/125/ratten,info@kraainem.be,nee,nee,nee,ja,nee
Kruibeke,NA,milieu@kruibeke.be,NA,NA,NA,NA,NA
Kruisem,NA,omgeving@kruisem.be,NA,NA,NA,NA,NA
Kuurne,https://www.kuurne.be/producten/rattenbestrijding,omgevingsloket@kuurne.be,nee,nee,nee,ja,nee
Laakdal,https://www.laakdal.be/bruine-ratten,omgeving@laakdal.be,nee,nee,ja,ja,nee
Laarne,https://www.laarne.be/ratten,milieu@laarne.be,nee,nee,ja,ja,nee
Lanaken,http://www.lanaken.be/Nieuwberichten/Preventie_en_bestrijding_van_ratten,technische.dienst@lanaken.be,nee,nee,nee,ja,nee
Landen,https://www.landen.be/product/127/rattenvergif,stadsmagazijn@landen.be,ja,nee,nee,nee,nee
Langemark-Poelkapelle,via mail,omgeving@langemark-poelkapelle.be,nee,nee,ja,NA,NA
Lebbeke,https://www.lebbeke.be/ongedierte,milieudienst@lebbeke.be,nee,nee,ja,ja,nee
Lede,via mail,milieu@lede.be,nee,nee,ja,NA,NA
Ledegem,https://www.ledegem.be/ledegem/gemeente-en-bestuur/dierenwelzijn/rattenverdelging,onthaal@ledegem.be,ja,nee,ja,ja,nee
Lendelede,via mail,milieudienst@lendelede.be,nee,nee,nee,NA,NA
Lennik,https://www.lennik.be/producten/detail/246/ratten,milieu@lennik.be,nee,nee,nee,ja,nee
Leopoldsburg,https://www.leopoldsburg.be/overlast-door-ongewenste-dieren-ratten-wespen-kakkerlakken-,info@leopoldsburg.be,nee,nee,nee,nee,nee
Leuven,https://www.leuven.be/ratten-bestrijden,stadsreiniging@leuven.be,ja,nee,nee,nee,nee
Lichtervelde,https://www.lichtervelde.be/rattenbestrijding,omgeving@lichtervelde.be,nee,nee,nee,ja,ja
Liedekerke,https://www.liedekerke.be/menu/afval-en-ongedierte/ongediertebestrijding,1770@liedekerke.be,nee,nee,ja,ja,nee
Lier,https://www.lier.be/IK_WIL/Ik_meld/Ik_wil_melding_maken_van_ratten,info@lier.be,nee,nee,ja,ja,ja
Lierde,via mail,milieudienst@lierde.be,nee,nee,ja,NA,NA
Lievegem,https://www.lievegem.be/wonen-en-omgeving/natuur-groen-en-dieren/rattenbestrijding,omgeving@lievegem.be,nee,nee,ja,ja,nee
Lille,https://www.lille.be/product.aspx?id=36,milieu@lille.be ,nee,nee,nee,ja,ja
Linkebeek,NA,grondgebiedzaken@linkebeek.be,NA,NA,NA,NA,NA
Lint,NA,milieu@lint.be,NA,NA,NA,NA,NA
Linter,http://www.linter.be/website/13507-www.html,luc.veldhaens@linter.be,nee,nee,nee,nee,nee
Lo-Reninge,NA,milieu@lo-reninge.be,NA,NA,NA,NA,NA
Lochristi,https://www.lochristi.be/product/119/ratten-bestrijding,tudbureau@lochristi.be,nee,nee,ja,ja,ja
Lokeren,https://www.lokeren.be/producten-en-diensten/rattenbestrijding,milieu.landbouw@lokeren.be,nee,nee,nee,ja,nee
Lommel,https://www.lommel.be/product/2831/overlast-van-ratten-melding-en-tips,stadswerken@lommel.be,nee,nee,ja,ja,ja
Londerzeel,https://www.londerzeel.be/rattenverdelging,milieu@londerzeel.be,nee,nee,nee,ja,nee
Lubbeek,https://www.lubbeek.be/rattenvergif,info@lubbeek.be,ja,nee,nee,ja,nee
Lummen,https://www.lummen.be/node/2352,milieu@lummen.be,nee,nee,ja,nee,nee
Maarkedal,https://www.maarkedal.be/nl/dienstverlening/afval-en-hinder/hinder-en-ongedierte/ratten,omgeving@maarkedal.be,nee,nee,nee,ja,ja
Maaseik,https://www.maaseik.be/bestrijding-ongedierte,info@maaseik.be,nee,nee,nee,ja,nee
Maasmechelen,https://www.maasmechelen.be/ratten,leefmilieu@maasmechelen.be,nee,nee,ja,nee,nee
Machelen,https://www.machelen.be/ratten,milieudienst@machelen.be,nee,nee,nee,ja,nee
Maldegem,https://www.maldegem.be/rattenbestrijding,milieudienst@maldegem.be,nee,nee,ja,nee,nee
Malle,https://www.malle.be/ratten,leefmilieu@malle.be,ja,nee,nee,ja,ja
Mechelen,https://www.mechelen.be/muskusratten,milieudienst@mechelen.be,nee,nee,nee,ja,ja
Meerhout,via mail,milieu@meerhout.be,nee,nee,nee,NA,NA
Meise,https://www.meise.be/product/1377/ratten-bestrijden,leefmilieu@meise.be,ja,nee,nee,ja,nee
Melle,https://www.melle.be/thema/3334/rattenbestrijding,milieudienst@melle.be,nee,nee,nee,ja,nee
Menen,https://www.menen.be/producten/rattenbestrijding-op-het-openbaar-domein,grondgebiedszaken@menen.be,ja,nee,nee,ja,nee
Merchtem,https://www.merchtem.be/product/491/rattenbestrijding,omgeving@merchtem.be,nee,nee,nee,ja,ja
Merelbeke,https://www.merelbeke.be/wonen-en-mobiliteit/milieu-en-duurzaamheid/hinder-en-overlast/dierenhinder/bestrijding-van-ratten,milieu@merelbeke.be,nee,nee,nee,ja,nee
Merksplas,https://www.merksplas.be/product.aspx?id=44,karen.sterkens@merksplas.be,ja,nee,nee,ja,nee
Mesen,NA,milieu.mesen@publilink.be,NA,NA,NA,NA,NA
Meulebeke,https://www.meulebeke.be/bruine-ratten,info@meulebeke.be,nee,nee,nee,ja,nee
Middelkerke,https://www.middelkerke.be/nl/welzijn-en-samenleven/dieren/rattenmuizen,dierenwelzijn@middelkerke.be,nee,nee,nee,nee,nee
Moerbeke,NA,bevolking@moerbeke.be,NA,NA,NA,NA,NA
Mol,https://www.gemeentemol.be/product/958/ratten-bestrijding,groendienst@gemeentemol.be,nee,nee,ja,ja,ja
Moorslede,https://www.moorslede.be/ratten,technische.dienst@moorslede.be,nee,nee,nee,ja,nee
Mortsel,https://www.mortsel.be/ruimte:Y5pOIKWiRRGjcbD7HUpLiw/Milieu_en_groen/Hinder_en_overlast/Ratten,onthaal@mortsel.be,nee,nee,ja,ja,ja
Nazareth,https://www.nazareth.be/ratten,pdme@nazareth.be,nee,nee,ja,ja,ja
Niel,NA,informatiedienst@niel.be,NA,NA,NA,NA,NA
Nieuwerkerken,NA,info@nieuwerkerken.be,NA,NA,NA,NA,NA
Nieuwpoort,via mail,milieu@nieuwpoort.be,nee,nee,ja,NA,NA
Nijlen,via mail,info@nijlen.be,nee,nee,ja,NA,NA
Ninove,https://www.ninove.be/overlast-van-ratten,leefmilieu@ninove.be,nee,nee,ja,ja,nee
Olen,https://www.olen.be/product/133/rattenbestrijding,omgeving@olen.be,nee,nee,nee,ja,ja
Oostende,https://www.oostende.be/producten/detail/631/rattenverdelging,stadsbestuur@oostende.be,nee,nee,ja,nee,nee
Oosterzele,https://www.oosterzele.be/Wonen/Milieunatuurenduurzaamheid/Dieren/Rattenbestrijding.aspx,omgeving@oosterzele.be,nee,nee,nee,ja,nee
Oostkamp,https://www.oostkamp.be/product/1749/ratten---tips-om-te-vermijden--bestrijden,openbarewerken@oostkamp.be,nee,nee,nee,ja,ja
Oostrozebeke,https://www.oostrozebeke.be/ongediertebestrijding,projecten@oostrozebeke.be,nee,nee,nee,ja,ja
Opwijk,https://www.opwijk.be/ratten,milieudienst@opwijk.be,nee,nee,nee,ja,nee
Oud-Heverlee,https://www.oud-heverlee.be/ratten,milieu@oud-heverlee.be,nee,nee,nee,ja,ja
Oud-Turnhout,http://www.oud-turnhout.be/product/110/bestrijding-van-ratten#prod_websites,openbare.werken@oud-turnhout.be,nee,nee,nee,ja,nee
Oudenaarde,https://www.oudenaarde.be/nl/wonen-leven/afval-en-netheid/ongedierte,technischediensten@oudenaarde.be,nee,nee,ja,ja,nee
Oudenburg,https://www.oudenburg.be/hinder-en-overlast/ratten.aspx,communicatie@oudenburg.be,nee,nee,nee,ja,ja
Oudsbergen,via mail,info@oudsbergen.be,nee,nee,ja,NA,NA
Overijse,http://www.overijse.be/content/1227/Rattenbestrijding.html,omgeving@overijse.be,ja,nee,nee,ja,ja
Peer,via mail,info@peer.be,nee,nee,ja,NA,NA
Pelt,https://www.gemeentepelt.be/rattenvanger,info@gemeentepelt.be,nee,nee,ja,nee,nee
Pepingen,http://www.pepingen.be/hinder-veroorzaakt-door-dieren-meldpunt-rattenbestrijding.html,mieke.denys@pepingen.be,ja,nee,nee,nee,nee
Pittem,https://www.pittem.be/nl/wonen/milieu/overlast/ratten,milieudienst@pittem.be,nee,nee,nee,ja,nee
Poperinge,via mail,omgevingsdienst@poperinge.be,nee,nee,nee,NA,NA
Putte,NA,info@putte.be,NA,NA,NA,NA,NA
Puurs-Sint-Amands,https://www.puurs-sint-amands.be/rattenbestrijding,technischedienst@puursam.be,nee,nee,nee,ja,ja
Ranst,https://www.ranst.be/product/414/ratten,omgeving@ranst.be,nee,nee,nee,ja,ja
Ravels,NA,milieudienst@ravels.be,NA,NA,NA,NA,NA
Retie,https://www.retie.be/product/457/ratten-en-ongedierte-bestrijden,omgeving@retie.be,nee,nee,nee,ja,ja
Riemst,https://www.riemst.be/nl/wonen/milieu/natuur/dieren/ratten,milieu@riemst.be,nee,nee,ja,nee,nee
Rijkevorsel,https://www.rijkevorsel.be/bouwen-en-wonen/bestrijding-ratten,technische.dienst@rijkevorsel.be,nee,nee,ja,ja,nee
Roeselare,https://www.roeselare.be/wonen-en-leven/groen-en-omgeving/dieren/rattenbestrijding,1788@roeselare.be,nee,nee,ja,ja,nee
Ronse,https://www.ronse.be/nl/dieren,omgeving@ronse.be,nee,nee,ja,ja,nee
Roosdaal,https://www.roosdaal.be/leefomgeving-en-mobiliteit/natuur-en-dieren/ratten?highlight=WyJyYXR0ZW4iXQ==,info@roosdaal.be,nee,nee,nee,ja,ja
Rotselaar,NA,omgeving@rotselaar.be,NA,NA,NA,NA,NA
Ruiselede,https://www.ruiselede.be/rattenbestrijding,milieu@ruiselede.be,nee,nee,nee,ja,nee
Rumst,https://www.rumst.be/product/314/ratten,milieu@rumst.be,ja,nee,nee,ja,ja
Schelle,https://www.schelle.be/leven-en-wonen/milieu-afval/dieren/,onthaal@schelle.be,nee,nee,nee,ja,nee
Scherpenheuvel-Zichem,https://www.scherpenheuvel-zichem.be/nieuws/ratten-voorkomen-en-bestrijden,milieudienst@scherpenheuvel-zichem.be,ja,nee,nee,ja,nee
Schilde,https://www.schilde.be/inwoners/milieu-en-duurzaamheid/natuur-en-groen/ongewenste-dieren-en-planten/ratten,dienst.der.werken@schilde.be,ja,nee,ja,nee,nee
Schoten,https://www.schoten.be/dieren,ddw@schoten.be,nee,nee,nee,nee,nee
Sint-Genesius-Rode,https://www.sint-genesius-rode.be/nl/product/104/ongedierte,secretariaat@sint-genesius-rode.be,nee,nee,nee,nee,nee
Sint-Gillis-Waas,https://www.sint-gillis-waas.be/wonen-en-leven/ondernemen-en-landbouw/rattenbestrijding,ondernemen@sint-gillis-waas.be,nee,nee,ja,ja,nee
Sint-Katelijne-Waver,https://www.sintkatelijnewaver.be/ratten-op-prive-domein,dierenwelzijn@skw.be,ja,nee,nee,ja,ja
Sint-Laureins,http://www.sint-laureins.be/website/9-www/464-www/469-www/488-www.html,technischedienst@sint-laureins.be,nee,nee,ja,nee,nee
Sint-Lievens-Houtem,https://www.sint-lievens-houtem.be/index.php?m=p2&page=gemeente&id=58&id2=716&id3=716&level=3&pag=716&template=2#loaded,milieu@sint-lievens-houtem.be,nee,nee,ja,nee,nee
Sint-Martens-Latem,https://www.sint-martens-latem.be/hinder-door-dieren,Grondgebiedzaken@sint-martens-latem.be,nee,nee,ja,nee,nee
Sint-Niklaas,NA,info@sint-niklaas.be,NA,NA,NA,NA,NA
Sint-Pieters-Leeuw,https://www.sint-pieters-leeuw.be/wonen-bouwen/milieu-afval/groen-en-natuur/ongediertebestrijding/ratten,leefmilieu@sint-pieters-leeuw.be,nee,nee,ja,nee,nee
Sint-Truiden,https://www.sint-truiden.be/ratten-en-muizen-verdelgen-0,info.stadswerkhuis@sint-truiden.be,nee,nee,ja,ja,ja
Spiere-Helkijn,https://www.spiere-helkijn.be/rattenbestrijding-op-het-openbaar-domein,mariska.debaene@spiere-helkijn.be,nee,nee,nee,nee,nee
